id	text	title
11	manual page briefly documents progress command . tool described Tiny , Dirty , C command looks coreutils basic commands ( cp , mv , dd , tar , gzip/gunzip , cat , etc . ) currently running system displays percentage copied data . also estimate throughput ( using flag -w ) .	progress
12	i7z runs i7z , ncurses based , program without options . i7z print C-states temperature i3 , i5 i7 based Core processors Intel ( including Nehalems , Sandy Bridge Ivy Bridge ) .	i7z
13	ffuf fest web fuzzer written Go allows typical directory discovery , virtual host discovery ( without DNS records ) GET POST parameter fuzzing .	ffuf
14	repo-add repo-remove two scripts help build package database packages built makepkg ( 8 ) installed pacman ( 8 ) . repo-add update package database reading built package file . Multiple packages add specified command line . matching “ .sig ” file found alongside package file , signature automatically embedded database . repo-remove update package database removing package name specified command	repo-add
15	sa summarizes information previously executed commands recorded acct file . addition , condenses data summary file named savacct contains number times command called system resources used . information also summarized per-user basis ; sa save information file named usracct . arguments specified , sa print information commands acct file . called file name last argument , sa use file instead	sa
16	vipw edits password file setting appropriate locks , necessary processing password file unlocked . password file already locked editing another user , vipw ask try later . default editor vipw vigr vi ( 1 ) . vigr edits group file manner vipw passwd file .	vipw
17	Fail2Ban v1.0.2 reads log file contains password failure report bans corresponding IP addresses using firewall rules .	fail2ban-client
18	ntpdate sets local date time polling Network Time Protocol ( NTP ) server ( ) given server arguments determine correct time . must run root local host . number samples obtained servers specified subset NTP clock filter selection algorithms applied select best . Note accuracy reliability ntpdate depends number servers , number polls time run interval runs . ntpdate run	ntpdate
19	systemctl may used introspect control state `` systemd '' system service manager . Please refer systemd ( 1 ) introduction basic concepts functionality tool manages .	systemctl
20	wine loads runs given program , DOS , Windows 3.x , Win32 Win64 executable ( 64-bit systems ) . debugging wine , use winedbg instead . running CUI executables ( Windows console programs ) , use wineconsole instead wine . display output separate window . using wineconsole CUI programs provide limited console support , program might function properly . invoked	wine
21	Screen Message display given multi-line message large possible , fullscreen black white . specify text either launching sm , edit program running . short timeout , text entry quit button disappear , leaving nothing screen entered text . continue entering text , start typing ( left- ) click anywhere screen . clear displayed text , press Escape . invert colors	sm
22	mkfs frontend deprecated favour filesystem specific mkfs. & lt ; type & gt ; utils . mkfs used build Linux filesystem device , usually hard disk partition . device argument either device name ( e.g. , /dev/hda1 , /dev/sdb2 ) , regular file shall contain filesystem . size argument number blocks used filesystem . exit status returned mkfs 0 success	mkfs
23	xmount allows convert on-the-fly multiple input output harddisk image formats . xmount creates virtual file system using FUSE ( Filesystem Userspace ) contains virtual representation input image . virtual representation raw DD , Apple 's Disk Image format ( DMG ) , VirtualBox 's virtual disk file format ( VDI ) , Microsoft 's Virtual Hard Disk Image format (	xmount
24	numlockx program control NumLock key inside X11 session scripts .	numlockx
25	Usage : xfce4-screenshooter [ OPTION ? ] Help Options : -h , -- help Show help options -- help-all Show help options -- help-gtk Show GTK+ Options Application Options : -c , -- clipboard Copy screenshot clipboard -d , -- delay Delay seconds taking screenshot -f < /	xfce4-screenshooter
26	DNF next upcoming major version YUM , package manager RPM-based Linux distributions . roughly maintains CLI compatibility YUM defines strict API extensions plugins . Plugins modify extend features DNF provide additional CLI commands top mentioned . know name command ( including commands mentioned ) , may find/install package provides using appropriate virtual provide form dnf-command ( & lt ; alias	yum
27	systemd-analyze may used determine system boot-up performance statistics retrieve state tracing information system service manager , verify correctness unit files . also used access special functions useful advanced system manager debugging . command passed , systemd-analyze time implied . systemd-analyze time command prints time spent kernel userspace reached , time spent initrd normal system userspace reached , time normal system	systemd-analyze
28	gnome-extensions utility makes common GNOME extensions operations available command line .	gnome-extensions
29	variable function specified name shall unset . -v specified , name refers variable name shell shall unset remove environment . Read-only variables unset . -f specified , name refers function shell shall unset function definition . neither -f -v specified , name refers variable ; variable name exist , unspecified whether function name , , shall unset . Unsetting variable	unset
30	manual page documents briefly a2ensite a2dissite commands . a2ensite script enables specified site ( contains & lt ; VirtualHost & gt ; block ) within apache2 configuration . creating symlinks within /etc/apache2/sites-enabled . Likewise , a2dissite disables site removing symlinks . error enable site already enabled , disable one already disabled . Apache treats first virtual host enabled specially every	a2dissite
31	dmesg used examine control kernel ring buffer . default action display messages kernel ring buffer .	dmesg
32	vgchange changes VG attributes , changes LV activation kernel , includes utilities VG maintenance .	vgchange
33	ipcalc takes IPv4 address netmask calculates resulting broadcast , network , Cisco wildcard mask , host range . giving second netmask , design sub- supernetworks . also intended teaching tool presents results easy-to- understand binary values . -- help Display help usage -n , -- nocolor n't display ANSI color codes -b , -- nobinary Suppress bitwise output -c ,	ipcalc
34	Xman manual page browser . default size initial xman window small leave running throughout entire login session . initial window three options : Help pop window on-line help , Quit exit , Manual Page pop window manual page browser . Typing Control-S pop window prompting specific manual page display . may display one manual page browser window time single execution	xman
35	manual page documents briefly nemo command . Nemo file manager Cinnamon desktop .	nemo
36	ndctl utility managing `` libnvdimm '' kernel subsystem . `` libnvdimm '' subsystem defines kernel device model control message interface platform NVDIMM resources like defined ACPI 6.0 NFIT ( NVDIMM Firmware Interface Table ) . Operations supported tool include , provisioning capacity ( namespaces ) , well enumerating/enabling/disabling devices ( dimms , regions , namespaces ) associated NVDIMM bus .	ndctl
37	utmpdump simple program dump UTMP WTMP files raw format , examined . utmpdump reads stdin unless filename passed .	utmpdump
38	swapon used specify devices paging swapping take place . device file used given specialfile parameter . may form -L label -U uuid indicate device label uuid . Calls swapon normally occur system boot scripts making swap devices available , paging swapping activity interleaved across several devices files . swapoff disables swapping specified devices files . -a flag given , swapping	swapon
39	xclock program displays time analog digital form . time continuously updated frequency may specified user .	xclock
40	command outputs length iso9660 filesystem contained specified file . file may normal file block device ( e.g . /dev/hdd /dev/sr0 ) . absence options ( errors ) , output size iso9660 filesystem bytes . large number ( & gt ; & gt ; 4 GB ) .	isosize
41	rpm powerful Package Manager , used build , install , query , verify , update , erase individual software packages . package consists archive files meta-data used install erase archive files . meta-data includes helper scripts , file attributes , descriptive information package . Packages come two varieties : binary packages , used encapsulate software installed , source packages ,	rpm
42	eject allows removable media ( typically CD-ROM , floppy disk , tape , JAZ , ZIP USB disk ) ejected software control . command also control multi-disc CD-ROM changers , auto-eject feature supported devices , close disc tray CD-ROM drives . device corresponding device mountpoint ejected . name specified , default name /dev/cdrom used . device may addressed device name	eject
43	simplest case strace runs specified command exits . intercepts records system calls called process signals received process . name system call , arguments return value printed standard error file specified -o option . strace useful diagnostic , instructional , debugging tool . System administrators , diagnosticians trouble-shooters find invaluable solving problems programs source readily available since need recompiled order trace	strace
44	Status information running jobs invoked Slurm . sstat command displays job status information analysis . sstat command displays information pertaining CPU , Task , Node , Resident Set Size ( RSS ) Virtual Memory ( VM ) . tailor output use -- fields= option specify fields shown . root user , sstat command displays job status data job running system	sstat
45	ntfsfix utility fixes common NTFS problems . ntfsfix Linux version chkdsk . repairs fundamental NTFS inconsistencies , resets NTFS journal file schedules NTFS consistency check first boot Windows . may run ntfsfix NTFS volume think damaged Windows way mounted .	ntfsfix
46	whiptail program let present variety questions display messages using dialog boxes shell script . Currently , types dialog boxes implemented : yes/no box , menu box , input box , message box , text box , info box , checklist box , radiolist box gauge box , password box .	whiptail
47	Anbox container-based approach boot full Android system regular GNU/Linux system like Ubuntu . words : Anbox let run Android Linux system without slowness virtualization .	anbox
48	Typical usage : Run command shell remote machine `` far-host '' X session wish view : x11vnc -display :0 run another window machine sitting : vncviewer far-host:0 x11vnc establishes connections X11 server starts listening VNC server print string : PORT=XXXX XXXX typically 5900 ( default VNC server port ) . One would next run something like local machine : ``	x11vnc
49	dockerd used starting Docker daemon ( i.e. , command daemon manage images , containers etc ) . dockerd server , daemon . run Docker daemon specify dockerd . check daemon options using dockerd -- help . Daemon options specified dockerd keyword following format . dockerd [ OPTIONS ]	dockerd
50	NOTE : get started quickly , use interactive installation guide . Certbot part EFF ’ effort encrypt entire Internet . Secure communication Web relies HTTPS , requires use digital certificate lets browsers verify identity web servers ( e.g. , really google.com ? ) . Web servers obtain certificates trusted third parties called certificate authorities ( CAs ) . Certbo	certbot
51	poweroff , reboot , halt may used power , reboot , halt machine . three commands take options .	halt
52	add-apt-repository script adds external APT repository either /etc/apt/sources.list file /etc/apt/sources.list.d/ removes already existing repository .	apt-add-repository
53	inotifywait efficiently waits changes files using Linux 's inotify ( 7 ) interface . suitable waiting changes files shell scripts . either exit event occurs , continually execute output events occur . fsnotifywait similar inotifywait using Linux 's fanotify ( 7 ) interface default . explicitly specified , uses inotify ( 7 ) interface .	inotifywait
54	utility shall read commands standard input group together at-job , executed later time . at-job shall executed separate invocation shell , running separate process group controlling terminal , except environment variables , current working directory , file creation mask , implementation-defined execution-time attributes effect utility executed shall retained used at-job executed . at-job submitted , at_job_id scheduled time shall written	at
55	ip link add - add virtual link link DEVICE specifies physical device act operate . NAME specifies name new virtual device . TYPE specifies type new device . Link types : amt - Automatic Multicast Tunneling ( AMT ) bareudp - Bare UDP L3 encapsulation support bond - Bonding device bridge - Ethernet Bridge device - Controller Area Network dsa	ip-link
56	vgdisplay shows attributes VGs , associated PVs LVs . vgs ( 8 ) preferred alternative shows information , using compact configurable output format .	vgdisplay
57	[ expression ] mathematical expression -i , -- interactive Load interactive mode ( default input ) -w , -- width [ b|w|l|d ] Set bit width ( default : l ) -h , -- help Display help exit -v , -- version Output version information exit -s , -- si Output sizes according SI standard . ( default : IEC	bitwise
58	KDocker program dock application system tray	kdocker
59	xfce4-terminal known X terminal emulator , often referred terminal shell . provides equivalent old-fashioned text screen desktop , one easily share screen graphical applications . Windows users may already familiar MS-DOS Prompt utility , analogous function offering DOS command-line Windows , though one note UNIX CLI offer far power ease use DOS . xfce4-terminal emulates xterm application developed X Consortium	xfce4-terminal
60	paccache removes old packages pacman cache directory . default last three versions package kept .	paccache
61	One use genfstab generate fstab entries mounted partitions given filesystem root . useful installing chrooting broken installation .	genfstab
62	zenity program display GTK+ dialogs , return ( either return code , standard output ) users input . allows present information , ask information user , manner shell scripts . example , zenity -- question return either 0 , 1 5 , depending whether user pressed OK , Cancel timeout reached . zenity -- entry output standard output user typed	zenity
63	nologin displays message account available exits non-zero . intended replacement shell field deny login access account . file /etc/nologin.txt exists , nologin displays contents user instead default message . exit status returned nologin always 1 .	nologin
64	btrfs subvolume used create/delete/list/show btrfs subvolumes snapshots . BTRFS subvolume part filesystem independent file/directory hierarchy inode number namespace . Subvolumes share file extents . snapshot also subvolume , given initial content original subvolume . subvolume always inode number 256 . NOTE : subvolume BTRFS like LVM logical volume , block-level snapshot BTRFS subvolumes file extent-based . subvolume looks like normal	btrfs-subvolume
65	pvs produces formatted output PVs .	pvs
66	Binwalk v2.3.2+dcb1403 Craig Heffner , ReFirmLabs https : //github.com/ReFirmLabs/binwalk Signature Scan Options : -B , -- signature Scan target file ( ) common file signatures -R , -- raw= & lt ; str & gt ; Scan target file ( ) specified sequence bytes -A , -- opcodes Scan target file ( ) common exe	binwalk
67	log file navigator , lnav , enhanced log file viewer takes advantage semantic information gleaned files viewed , timestamps log levels . Using extra semantic information , lnav things like interleaving messages different files , generate histograms messages time , providing hotkeys navigating file . hoped features allow user quickly efficiently zero problems .	lnav
68	numactl runs processes specific NUMA scheduling memory placement policy . policy set command inherited children . addition set persistent policy shared memory segments files . Use -- command using command options could confused numactl options . nodes may specified N , N , N N-N N , N-N N-N , N-N forth . Relative nodes may specified +N , N	numactl
69	vncviewer viewer ( client ) Virtual Network Computing . manual page documents version 4 X window system . run viewer arguments prompt VNC server connect . Alternatively , specify VNC server argument , e.g . : vncviewer snoopy:2 'snoopy ' name machine , ' 2 ' display number VNC server machine . Either machine name display number omitted . example	vncviewer
70	rxvt-unicode , version 9.31 , colour vt102 terminal emulator intended xterm ( 1 ) replacement users require features Tektronix 4014 emulation toolkit-style configurability . result , rxvt-unicode uses much less swap space -- significant advantage machine serving many X sessions . document also available World-Wide-Web & lt ; http : //pod.tst.eu/http : //cvs.schmorp.de/rxvt-unicode/doc/rxvt.1.pod & gt ; .	urxvt
71	sacctmgr used view modify Slurm account information . account information maintained within database interface provided slurmdbd ( Slurm Database daemon ) . database serve central storehouse user computer information multiple computers single site . Slurm account information recorded based upon four parameters form referred association . parameters user , cluster , partition , account . user login name . cluster	sacctmgr
72	imgp multiprocessing command line image resizer rotator JPEG PNG images . Features * resize percentage resolution * rotate clockwise specified angle * adaptive resize considering orientation * brute force resolution * optimize images save space * limit processing minimum image size * convert PNG JPEG * erase exif metadata * specify output JPEG image quality * force smaller larger resize	imgp
73	reflector Python script associated Python module retrieve up-to-date Arch Linux mirror data Mirror Status ( https : //www.archlinux.org/mirrors/status/ ) web interface .	reflector
74	bpytop resource monitor shows usage stats processor , memory , disks , network processes . bpytop includes : - Easy use , game inspired menu system . - Full mouse support , buttons highlighted key clickable mouse scroll works process list menu boxes . - Fast responsive UI , keys process selection . - Function showing detailed stats selected process	bpytop
75	asterisk full-featured telephony server provides Private Branch eXchange ( PBX ) , Interactive Voice Response ( IVR ) , Automated Call Distribution ( ACD ) , Voice IP ( VoIP ) gatewaying , Conferencing , plethora telephony applications broad range telephony devices including packet voice ( SIP , IAX2 , MGCP , Skinny , H.323 , Unistim ) devices (	asterisk
76	List information FILEs ( current directory default ) . Sort entries alphabetically none -cftuvSUX -- sort specified . Mandatory arguments long options mandatory short options . -a , -- ignore entries starting . -A , -- almost-all list implied . .. -- author -l , print author file -b , -- escape print C-style escapes nongraphic characters -- block-size=SIZE -l	dir
77	extundelete utility recover deleted files ext3 ext4 partition extundelete uses information stored partition 's journal attempt recover file deleted partition . guarantee particular file able undeleted , always try good backup system place , least put one place recovering files !	extundelete
78	Output pieces FILE separated PATTERN ( ) files 'xx00 ' , 'xx01 ' , ... , output byte counts piece standard output . Read standard input FILE - Mandatory arguments long options mandatory short options . -b , -- suffix-format=FORMAT use sprintf FORMAT instead % 02d -f , -- prefix=PREFIX use PREFIX instead 'xx ' -k , -- keep-files remove	csplit
79	shutdown may used halt , power , reboot machine . first argument may time string ( usually `` '' ) . Optionally , may followed wall message sent logged-in users going . time string may either format `` hh : mm '' hour/minutes specifying time execute shutdown , specified 24h clock format . Alternatively may syntax `` +m '' referring	shutdown
80	timedatectl may used query change system clock settings , enable disable time synchronization services . Use systemd-firstboot ( 1 ) initialize system time zone mounted ( booted ) system images . timedatectl may used show current status time synchronization services , example systemd-timesyncd.service ( 8 ) .	timedatectl
81	calcurse calendar scheduling application use terminal session ( terminal emulator ) . invoked without options , calcurse enters interactive mode ; cases , calcurse produces output terminal exits . helps keeping track events , appointments everyday tasks . Interactive mode used data entered already existing entries inspected edited . data saved disk text files . Command line mode used queries	calcurse
82	Dos2unix package includes utilities `` dos2unix '' `` unix2dos '' convert plain text files DOS Mac format Unix format vice versa . DOS/Windows text files line break , also known newline , combination two characters : Carriage Return ( CR ) followed Line Feed ( LF ) . Unix text files line break single character : Line Feed ( LF	unix2mac
83	mono runtime implementation ECMA Common Language Infrastructure . used run ECMA .NET applications . runtime loads specified file optionally passes arguments . file ECMA assembly . typically .exe .dll extension . executables reference additional functionality form assembly references . default assembly references resolved follows : mscorlib.dll resolved system profile configured Mono , assemblies loaded Global Assembly Cache ( GAC )	mono
84	gnome-terminal terminal emulator application accessing UNIX shell environment used run programs available system . supports several profiles , multiple tabs implements several keyboard shortcuts .	gnome-terminal
85	readpe read display PE file headers , fields values . 's part pev , PE file analysis toolkit . pefile PE32/PE32+ executable dynamic linked library file .	readpe
86	lvresize resizes LV way lvextend lvreduce . See lvextend ( 8 ) lvreduce ( 8 ) information . usage section , -- size Size replaced -- extents Number . See descriptions options section .	lvresize
87	notify-send send desktop notifications user via notification daemon command line . notifications used inform user event display form information without getting userâ€™s way .	notify-send
88	run-mailcap ( aliases ) use given action process mime-type/file turn . file specified mime-type , encoding ( e.g . compression ) , filename together , separated colons . mime-type omitted , attempt determine type made trying match file 's extension mime.types files . mime-type found , last attempt done running file command , available . encoding omitted , also determined	compose
89	lvdisplay shows attributes LVs , like size , read/write status , snapshot information , etc . lvs ( 8 ) preferred alternative shows information , using compact configurable output format .	lvdisplay
90	add-apt-repository script adds external APT repository either /etc/apt/sources.list file /etc/apt/sources.list.d/ removes already existing repository .	add-apt-repository
91	btrfs device command group used manage devices btrfs filesystems .	btrfs-device
92	OpenRC uses named runlevels . Rather editing obscure file managing directory symlinks , rc-update exists quickly add delete services different runlevels . services must reside /etc/init.d /usr/local/etc/init.d directories . must also standard OpenRC scripts , meaning must use openrc-run . add service Add service runlevel current one none given . Services added boot runlevel must exist /etc/init.d . delete service	rc-update
93	rfkill lists , enabling disabling wireless devices . command `` list '' output format deprecated maintained backward compatibility . new output format default command specified option -- output used . default output subject change . whenever possible , avoid using default outputs scripts . Always explicitly define expected columns using -- output option together columns list environments stable output required	rfkill
94	mpstat command writes standard output activities available processor , processor 0 first one . Global average activities among processors also reported . mpstat command used SMP machines , latter , global average activities printed . activity selected , default report CPU utilization report . interval parameter specifies amount time seconds report . value 0 ( parameters ) indicates processors statistics	mpstat
95	nmcli command-line tool controlling NetworkManager reporting network status . utilized replacement nm-applet graphical clients . nmcli used create , display , edit , delete , activate , deactivate network connections , well control display network device status . See nmcli-examples ( 7 ) ready run nmcli examples . Typical uses include : • Scripts : Utilize NetworkManager via nmcli instead	nmcli
96	vncserver used start VNC ( Virtual Network Computing ) desktop . vncserver Perl script simplifies process starting Xvnc server . runs Xvnc appropriate options starts window manager VNC desktop . vncserver run options . case choose first available display number ( usually :1 ) , start Xvnc display number , start default window manager Xvnc session . also specify display	vncserver
97	Iptables ip6tables used set , maintain , inspect tables IPv4 IPv6 packet filter rules Linux kernel . Several different tables may defined . table contains number built- chains may also contain user-defined chains . chain list rules match set packets . rule specifies packet matches . called ` target ' , may jump user-defined chain table .	iptables
98	lvremove removes one LVs . standard LVs , returns logical extents used LV VG use LVs . Confirmation requested deactivating active LV prior removal . LVs deactivated removed open ( e.g . contain mounted filesystem ) . Removing origin LV also remove dependent snapshots . single force option used , LVs removed without confirmation , command try deactivate unused LVs	lvremove
99	resize2fs program resize ext2 , ext3 , ext4 file systems . used enlarge shrink unmounted file system located device . file system mounted , used expand size mounted file system , assuming kernel file system supports on-line resizing . ( Modern Linux 2.6 kernels support on- line resize file systems mounted using ext3 ext4 ; ext3 file systems require use	resize2fs
100	Qt cross-platform C++ application framework . Qt 's primary feature rich set widgets provide standard GUI functionality . Qt Chooser provides wrapper switch versions Qt development binaries multiple versions like 4 5 installed local Qt builds used . commonly used via symlink executable_name like qmake .	qtchooser
101	tcpflow program captures data transmitted part TCP connections ( flows ) , stores data way convenient protocol analysis debugging . Rather showing packet-by-packet information , tcpflow reconstructs actual data streams stores flow separate file later analysis . tcpflow understands TCP sequence numbers correctly reconstruct data streams regardless retransmissions out-of-order delivery . tcpflow provides control filenames automatic binning connections protocol ,	tcpflow
102	Alpine screen-oriented message-handling tool . default configuration , Alpine offers intentionally limited set functions geared toward novice user , also large list optional `` power-user '' personal-preference features . alpinef variant Alpine uses function keys rather mnemonic single-letter commands . Alpine 's basic feature set includes : View , Save , Export , Delete , Print , Reply Forward messages	alpine
103	Retrieve set X selection . X server maintains three selections , called PRIMARY , SECONDARY CLIPBOARD . PRIMARY selection conventionally used implement copying pasting via middle mouse button . SECONDARY CLIPBOARD selections less frequently used application programs . program operates PRIMARY selection unless otherwise specified . default , program outputs selection without modification standard input standard output terminals ( ttys	xsel
104	Xrdb used get set contents RESOURCE_MANAGER property root window screen 0 , SCREEN_RESOURCES property root window screens , everything combined . would normally run program X startup file . X clients use RESOURCE_MANAGER SCREEN_RESOURCES properties get user preferences color , fonts , applications . information server ( available clients ) instead disk , solves problem previous versions X required maintain	xrdb
105	namei interprets arguments pathnames type Unix file ( symlinks , files , directories , forth ) . namei follows pathname endpoint found ( file , directory , device node , etc ) . finds symbolic link , shows link , starts following , indenting output show context . program useful finding `` many levels symbolic links '' problems . line	namei
106	pvcreate initializes Physical Volume ( PV ) device device recognized belonging LVM . allows PV used Volume Group ( VG ) . LVM disk label written device , LVM metadata areas initialized . PV placed whole device partition . Use vgcreate ( 8 ) create new VG PV , vgextend ( 8 ) add PV existing VG . Use pvremove	pvcreate
107	Install , configure , refresh remove snap packages . Snaps enabling secure distribution latest apps utilities cloud , servers , desktops internet things . CLI snapd , background service takes care snaps system . Start 'snap list ' see installed snaps .	snap
108	tool part samba ( 7 ) suite . smbget simple utility wget-like semantics , download files SMB servers . specify files would like download command-line . files smb-URL standard , e.g . use smb : //host/share/file UNC path \\\\HOST\\SHARE\\file .	smbget
109	swapon used specify devices paging swapping take place . device file used given specialfile parameter . may form -L label -U uuid indicate device label uuid . Calls swapon normally occur system boot scripts making swap devices available , paging swapping activity interleaved across several devices files . swapoff disables swapping specified devices files . -a flag given , swapping	swapoff
110	INTRODUCTION i3 created wmii , favorite window manager time , ’ provide features wanted ( multi-monitor done right , example ) , bugs , ’ progress since quite time ’ easy hack ( source code comments/documentation completely lacking ) . Still , think wmii developers contributors great job . Thank inspiring us create i3 . Please aware i3 primarily targeted	i3
111	newgrp changes group identification caller , analogously login ( 1 ) . person remains logged , current directory unchanged , calculations access permissions files performed respect new group ID . group specified , GID changed login GID .	newgrp
112	run-mailcap ( aliases ) use given action process mime-type/file turn . file specified mime-type , encoding ( e.g . compression ) , filename together , separated colons . mime-type omitted , attempt determine type made trying match file 's extension mime.types files . mime-type found , last attempt done running file command , available . encoding omitted , also determined	print
113	rspamc simple rspamd client , primarily classifying learning messages . rspamc supports following commands : • Scan commands : • symbols : scan message show symbols ( default command ) • Control commands • learn_spam : learn message spam • learn_ham : learn message ham • fuzzy_add : add message fuzzy storage ( check -f -w options command ) •	rspamc
114	gdebi lets install local deb packages resolving installing dependencies . apt , remote ( http , ftp ) located packages . also resolve build-depends debian/control files .	gdebi
115	netselect-apt automatically creates sources.list file using apt specified distribution downloading list Debian mirrors using wget choosing fastest servers using netselect , testing valid servers using curl ( available ) . output file written OUTFILE . list fastest servers determined checking netselect , servers responder faster ICMP queries . order determine servers valid connectiong using specificied protocol ( HTTP FTP )	netselect-apt
116	wmctrl command used interact X Window manager compatible EWMH/NetWM specification . wmctrl query window manager information , request certain window management actions taken . wmctrl controlled entirely command line arguments . command line arguments used specify action performed ( options modify behavior ) arguments might needed perform actions . following sections define supported actions options . Arguments actions options written	wmctrl
117	lsmod trivial program nicely formats contents /proc/modules , showing kernel modules currently loaded .	lsmod
118	xtrlock locks X server till user enters password keyboard . xtrlock running , mouse keyboard grabbed mouse cursor becomes padlock . Output displayed X programs , windows put new X clients , continue visible , new output displayed normally . mouse keyboard returned user types password , followed Enter Newline . incorrect password entered bell sounded . Pressing Backspace Delete	xtrlock
119	boltctl command line interface interact boltd , system daemon manages Thunderbolt 3 ( TM ) devices . used query state devices well manage . Devices globally identified via unique identifier ( uuid ) . commands take DEVICE identifier expect unique id . command given , equivalent boltctl list .	boltctl
120	manual page documents briefly bluetoothd daemon , manages Bluetooth devices . bluetoothd also provide number services via D-Bus message bus system .	bluetoothd
121	nmtui cursesâ€�based TUI application interacting NetworkManager . starting nmtui , user prompted choose activity perform unless specified first argument . supported activities : edit Show connection editor supports adding , modifying , viewing deleting connections . provides similar functionality nm-connection-editor . connect Show list available connections , option activate deactivate . provides similar functionality nm-applet . hostname Set system hostname	nmtui
122	Program mapping gamepad/joystick events mouse/keyboard events	qjoypad
123	latest processors exist two MSR registers referred : - MPERF increasing maximum ( P0 ) frequency C0 - APERF increasing current/actual frequency C0 information average frequency time period calculated tool . nice falloff feature beside average frequency time processor core remained C0 ( working state ) CX ( sleep state ) processor sleep state measured time period . information determined	cpufreq-aperf
124	RadeonTop shows utilization GPU , general blocks . Supported cards R600 .	radeontop
125	Browse mDNS/DNS-SD network services browsing domains using Avahi daemon .	avahi-browse
126	archinstall is library which can be used to install Arch Linux. The library comes packaged with different pre-configured installers, such as the default Guided installation installer.	archinstall
127	The groupmod command modifies the system account file according to changes specified on the command line.	groupmod
128	goaccess GoAccess open source real-time web log analyzer interactive viewer runs terminal * nix systems browser . provides fast valuable HTTP statistics system administrators require visual server report fly . GoAccess parses specified web log file outputs data X terminal . Features include : General Statistics : panel gives summary several metrics , number valid invalid requests , time taken	goaccess
129	macchanger GNU/Linux utility viewing/manipulating MAC address network interfaces .	macchanger
130	Given device disk-image , partx tries parse partition table list contents . also tell kernel add remove partitions bookkeeping . disk argument optional partition argument provided . force scanning partition whole disk ( example list nested subpartitions ) , use argument `` - '' ( hyphen-minus ) . example : partx -- show - /dev/sda3 see sda3 whole-disk rather partition	partx
131	cpufreq-set allows modify cpufreq settings without type e.g . `` /sys/devices/system/cpu/cpu0/cpufreq/scaling_set_speed '' time .	cpufreq-set
132	wtf utility looks meaning one term operands specified command line . term first searched acronym acronym databases , expected format “ acronym [ tab ] meaning ” . match found , wtf check see term known whatis ( 1 ) , pkg_info ( 1 ) , , called within pkgsrc package directory , pkgsrc 's internal help facility , “	wtf
133	dconf simple key/value storage system heavily optimised reading . makes ideal system storing user preferences ( read 1000s times time user changes one ) . created usecase mind . preferences stored single large binary file . Layering preferences possible using multiple files ( ie : site defaults ) . Lock-down also supported . binary file defaults optionally compiled set plain	dconf
134	vnStat console-based network traffic monitor . keeps log 5 minute interval , hourly , daily , monthly yearly network traffic selected interface ( ) . However , n't packet sniffer . traffic information read proc ( 5 ) sys filesystems depending availability resulting light use system resources regardless network traffic rate . way vnStat used even without root permissions systems	vnstat
